idproduto,mes,ano,quantidade,origem
10430,1,2026,142,"API"
10431,1,2026,118,"API"
10458,1,2026,61,"API"
10464,1,2026,111,"API"
10476,1,2026,141,"API"
10477,1,2026,191,"API"
10478,1,2026,157,"API"
10479,1,2026,123,"API"
10480,1,2026,121,"API"
10481,1,2026,175,"API"
10482,1,2026,147,"API"
10483,1,2026,92,"API"
10494,1,2026,136,"API"
10495,1,2026,233,"API"
10496,1,2026,210,"API"
10497,1,2026,86,"API"
10498,1,2026,136,"API"
10499,1,2026,116,"API"
10783,1,2026,24,"API"
10784,1,2026,48,"API"
10785,1,2026,43,"API"
10786,1,2026,35,"API"
10787,1,2026,60,"API"
10788,1,2026,65,"API"
13561,1,2026,74,"API"
13562,1,2026,54,"API"
13576,1,2026,117,"API"
13586,1,2026,164,"API"
13587,1,2026,154,"API"
13588,1,2026,113,"API"
13589,1,2026,90,"API"
13595,1,2026,119,"API"
16030,1,2026,27,"API"
16031,1,2026,34,"API"
16032,1,2026,31,"API"
16033,1,2026,23,"API"
16034,1,2026,25,"API"
16035,1,2026,26,"API"
16036,1,2026,25,"API"
16037,1,2026,19,"API"
16042,1,2026,96,"API"
16043,1,2026,98,"API"
16044,1,2026,54,"API"
16045,1,2026,43,"API"
16046,1,2026,131,"API"
16047,1,2026,143,"API"
16048,1,2026,72,"API"
16049,1,2026,51,"API"
16050,1,2026,54,"API"
16051,1,2026,89,"API"
16052,1,2026,55,"API"
16053,1,2026,144,"API"
16054,1,2026,163,"API"
16055,1,2026,134,"API"
16056,1,2026,42,"API"
16057,1,2026,50,"API"
16058,1,2026,41,"API"
16059,1,2026,31,"API"
16064,1,2026,51,"API"
16065,1,2026,64,"API"
16066,1,2026,47,"API"
16067,1,2026,36,"API"
16433,1,2026,124,"API"
16434,1,2026,197,"API"
16435,1,2026,138,"API"
16436,1,2026,28,"API"
16437,1,2026,477,"API"
16438,1,2026,754,"API"
16439,1,2026,456,"API"
16440,1,2026,18,"API"
16441,1,2026,561,"API"
16442,1,2026,900,"API"
16443,1,2026,523,"API"
16444,1,2026,119,"API"
16453,1,2026,204,"API"
