idproduto;mes;ano;quantidade;origem;updated_at
10430;1;2026;142;API;2026-08-06T13:11:37.798Z
10430;2;2026;120;API;2026-08-06T13:11:37.798Z
10430;3;2026;166;API;2026-08-06T13:11:37.798Z
10430;4;2026;117;API;2026-08-06T13:11:37.798Z
10430;5;2026;0;API;2026-08-06T13:11:37.798Z
10430;6;2026;103;API;2026-08-06T13:11:37.798Z
10430;7;2026;121;API;2026-08-06T13:11:37.798Z
10430;8;2026;62;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10430;9;2026;85;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10430;10;2026;91;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10430;11;2026;64;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10430;12;2026;56;PROJECAO_REP;2026-08-13T16:16:27.865Z
10431;1;2026;118;API;2026-08-06T13:11:37.798Z
10431;2;2026;101;API;2026-08-06T13:11:37.798Z
10431;3;2026;139;API;2026-08-06T13:11:37.798Z
10431;4;2026;98;API;2026-08-06T13:11:37.798Z
10431;5;2026;0;API;2026-08-06T13:11:37.798Z
10431;6;2026;86;API;2026-08-06T13:11:37.798Z
10431;7;2026;96;API;2026-08-06T13:11:37.798Z
10431;8;2026;48;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10431;9;2026;65;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10431;10;2026;76;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10431;11;2026;49;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10431;12;2026;47;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10458;1;2026;61;API;2026-08-06T13:11:37.798Z
10458;2;2026;52;API;2026-08-06T13:11:37.798Z
10458;3;2026;72;API;2026-08-06T13:11:37.798Z
10458;4;2026;51;API;2026-08-06T13:11:37.798Z
10458;5;2026;0;API;2026-08-06T13:11:37.798Z
10458;6;2026;45;API;2026-08-06T13:11:37.798Z
10458;7;2026;58;API;2026-08-06T13:11:37.798Z
10458;8;2026;29;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10458;9;2026;40;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10458;10;2026;40;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10458;11;2026;30;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10458;12;2026;23;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10464;1;2026;111;API;2026-08-06T13:11:37.798Z
10464;2;2026;94;API;2026-08-06T13:11:37.798Z
10464;3;2026;129;API;2026-08-06T13:11:37.798Z
10464;4;2026;91;API;2026-08-06T13:11:37.798Z
10464;5;2026;107;API;2026-08-06T13:11:37.798Z
10464;6;2026;80;API;2026-08-06T13:11:37.798Z
10464;7;2026;93;API;2026-08-06T13:11:37.798Z
10464;8;2026;111;API;2026-08-06T13:11:37.798Z
10464;9;2026;114;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10464;10;2026;103;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10464;11;2026;73;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10464;12;2026;44;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10476;1;2026;141;API;2026-08-06T13:11:37.798Z
10476;2;2026;120;API;2026-08-06T13:11:37.798Z
10476;3;2026;165;API;2026-08-06T13:11:37.798Z
10476;4;2026;116;API;2026-08-06T13:11:37.798Z
10476;5;2026;136;API;2026-08-06T13:11:37.798Z
10476;6;2026;103;API;2026-08-06T13:11:37.798Z
10476;7;2026;129;API;2026-08-06T13:11:37.798Z
10476;8;2026;150;API;2026-08-06T13:11:37.798Z
10476;9;2026;198;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10476;10;2026;179;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10476;11;2026;126;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10476;12;2026;76;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10477;1;2026;191;API;2026-08-06T13:11:37.798Z
10477;2;2026;162;API;2026-08-06T13:11:37.798Z
10477;3;2026;223;API;2026-08-06T13:11:37.798Z
10477;4;2026;157;API;2026-08-06T13:11:37.798Z
10477;5;2026;184;API;2026-08-06T13:11:37.798Z
10477;6;2026;139;API;2026-08-06T13:11:37.798Z
10477;7;2026;184;API;2026-08-06T13:11:37.798Z
