idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
37051;PT 99 0188;SACOLA NAMORADOS C/CARTAO;UNICA;U;;0
39193;101704;CALCINHA STRING FIO DENTAL CONFORT;VANILLA;G;PERMANENTE COR NOVA;120
39192;101704;CALCINHA STRING FIO DENTAL CONFORT;VANILLA;M;PERMANENTE COR NOVA;120
39191;101704;CALCINHA STRING FIO DENTAL CONFORT;VANILLA;P;PERMANENTE COR NOVA;120
38461;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CALLAS;42;PERMANENTE COR NOVA;120
38462;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CALLAS;44;PERMANENTE COR NOVA;120
38463;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CALLAS;46;PERMANENTE COR NOVA;120
38464;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CALLAS;48;PERMANENTE COR NOVA;120
38437;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CHOCOLATE;42;PERMANENTE COR NOVA;120
38438;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CHOCOLATE;44;PERMANENTE COR NOVA;120
38439;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CHOCOLATE;46;PERMANENTE COR NOVA;120
38440;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;CHOCOLATE;48;PERMANENTE COR NOVA;120
38449;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;MAUVE;42;PERMANENTE COR NOVA;120
38450;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;MAUVE;44;PERMANENTE COR NOVA;120
38451;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;MAUVE;46;PERMANENTE COR NOVA;120
38452;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;MAUVE;48;PERMANENTE COR NOVA;120
38457;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;NUDE;42;PERMANENTE COR NOVA;120
38458;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;NUDE;44;PERMANENTE COR NOVA;120
38459;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;NUDE;46;PERMANENTE COR NOVA;120
38460;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;NUDE;48;PERMANENTE COR NOVA;120
38433;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;PRETO;42;PERMANENTE COR NOVA;120
38434;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;PRETO;44;PERMANENTE COR NOVA;120
38435;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;PRETO;46;PERMANENTE COR NOVA;120
38436;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;PRETO;48;PERMANENTE COR NOVA;120
38453;103010;SUTIA MEIA TACA REFORCADO C/BJ EM MICROF;TRUFA;42;PERMANENTE COR NOVA;120
