"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"37051";"PT 99 0188";"SACOLA NAMORADOS C/CARTAO";"UNICA";"U";""
"39193";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"VANILLA";"G";"PERMANENTE COR NOVA"
"39192";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"VANILLA";"M";"PERMANENTE COR NOVA"
"39191";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"VANILLA";"P";"PERMANENTE COR NOVA"
"38461";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CALLAS";"42";"PERMANENTE COR NOVA"
"38462";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CALLAS";"44";"PERMANENTE COR NOVA"
"38463";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CALLAS";"46";"PERMANENTE COR NOVA"
"38464";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CALLAS";"48";"PERMANENTE COR NOVA"
"38437";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CHOCOLATE";"42";"PERMANENTE COR NOVA"
"38438";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CHOCOLATE";"44";"PERMANENTE COR NOVA"
"38439";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CHOCOLATE";"46";"PERMANENTE COR NOVA"
"38440";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"CHOCOLATE";"48";"PERMANENTE COR NOVA"
"38449";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"MAUVE";"42";"PERMANENTE COR NOVA"
"38450";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"MAUVE";"44";"PERMANENTE COR NOVA"
"38451";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"MAUVE";"46";"PERMANENTE COR NOVA"
"38452";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"MAUVE";"48";"PERMANENTE COR NOVA"
"38457";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"NUDE";"42";"PERMANENTE COR NOVA"
"38458";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"NUDE";"44";"PERMANENTE COR NOVA"
"38459";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"NUDE";"46";"PERMANENTE COR NOVA"
"38460";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"NUDE";"48";"PERMANENTE COR NOVA"
"38433";"103010";"SUTIA MEIA TACA REFORCADO C/BJ EM MICROF";"PRETO";"42";"PERMANENTE COR NOVA"
