idproduto,periodo,referencia,produto,apresentacao,cor,tamanho,marca,status,continuidade,cod_situacao,linha,familia,grupo,qtd_mensal,dias_com_venda,ano,mes,ano_mes
4023,2025-01-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,64.0,17,2025,1,2025-01
4023,2025-02-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,82.0,15,2025,2,2025-02
4023,2025-03-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,61.0,15,2025,3,2025-03
4023,2025-04-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,46.0,17,2025,4,2025-04
4023,2025-05-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,58.0,17,2025,5,2025-05
4023,2025-06-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,33.0,16,2025,6,2025-06
4023,2025-07-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,29.0,14,2025,7,2025-07
4023,2025-08-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,69.0,15,2025,8,2025-08
4023,2025-09-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,92.0,22,2025,9,2025-09
4023,2025-10-01,103006,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C,SUTIA 1/2 TACA COM BASE TRANSPASS TACA C PRETO 42C,PRETO,42C,LIEBE,EM LINHA,PERMANENTE,001,CONFORT,BASICOS,CONFORT__BASICOS,65.0,23,2025,10,2025-10
