idproduto,referencia,produto,curva_abc,continuidade,linha,familia,ano,mes,ml_qtd
10464,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,1,150
10464,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,2,126
10464,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,3,54
10464,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,4,85
10476,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,1,148
10476,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,2,125
10476,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,3,60
10476,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,4,78
10477,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,1,191
10477,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,2,133
10477,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,3,81
10477,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,4,112
10478,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,1,191
10478,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,2,127
10478,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,3,72
10478,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,4,90
10480,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,1,102
10480,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,2,84
10480,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,3,45
10480,503303,SUTIA 1/2TACA S/ BOJO RENDA KISS ME B,A,PERMANENTE,FASHION,KISS ME,2026,4,57
