idproduto,mes,qtd
10464,7,89
10464,8,109
10464,9,119
10464,10,89
10464,11,59
10476,7,95
10476,8,101
10476,9,140
10476,10,94
10476,11,62
10477,7,149
10477,8,167
10477,9,207
10477,10,149
10477,11,88
10478,7,128
10478,8,155
10478,9,207
10478,10,94
10478,11,87
10480,7,57
10480,8,49
10480,9,226
10480,10,78
10480,11,48
10481,7,101
10481,8,83
10481,9,239
10481,10,74
10481,11,60
10482,7,80
10482,8,79
10482,9,244
10482,10,59
10482,11,40
10483,7,52
10483,8,53
10483,9,222
10483,10,69
10483,11,36
10494,7,76
10494,8,98
10494,9,215
10494,10,105
10494,11,45
10495,7,136
10495,8,136
10495,9,383
10495,10,148
10495,11,63
10496,7,94
10496,8,120
10496,9,301
10496,10,128
10496,11,60
10786,7,19
10786,8,28
10786,9,39
10786,10,19
10786,11,11
10787,7,37
10787,8,56
10787,9,79
10787,10,37
10787,11,22
10788,7,39
10788,8,58
10788,9,82
10788,10,39
10788,11,23
13561,7,40
13561,8,55
13561,9,62
13561,10,98
13561,11,43
13562,7,25
13562,8,50
13562,9,64
13562,10,69
13562,11,36
13576,7,55
13576,8,65
13576,9,93
13576,10,99
13576,11,58
13586,7,97
13586,8,137
13586,9,152
13586,10,196
13586,11,92
13587,7,95
13587,8,149
13587,9,120
13587,10,186
13587,11,94
13588,7,50
13588,8,77
13588,9,84
13588,10,125
13588,11,61
13589,7,30
13589,8,63
13589,9,64
13589,10,98
13589,11,49
13595,7,68
13595,8,92
13595,9,97
13595,10,122
13595,11,73
16030,7,17
16030,8,35
16030,9,32
16030,10,31
16030,11,34
16031,7,21
16031,8,45
16031,9,40
16031,10,39
16031,11,43
16032,7,19
16032,8,40
16032,9,37
16032,10,36
16032,11,39
16033,7,15
16033,8,31
16033,9,28
16033,10,27
16033,11,30
16034,7,16
16034,8,33
16034,9,30
16034,10,29
16034,11,32
16035,7,17
16035,8,35
16035,9,31
16035,10,30
16035,11,33
16036,7,14
16036,8,29
16036,9,26
16036,10,25
16036,11,28
16037,7,11
16037,8,23
16037,9,21
16037,10,20
16037,11,22
16042,7,22
16042,8,50
16042,9,61
16042,10,61
16042,11,30
16043,7,34
16043,8,58
16043,9,57
16043,10,70
16043,11,40
16044,7,22
16044,8,31
16044,9,43
16044,10,60
16044,11,34
16045,7,15
16045,8,22
16045,9,31
16045,10,51
16045,11,32
16046,7,40
16046,8,71
16046,9,82
16046,10,96
16046,11,63
16047,7,54
16047,8,78
16047,9,89
16047,10,138
16047,11,78
16048,7,41
16048,8,45
16048,9,64
16048,10,92
16048,11,41
16049,7,20
16049,8,32
16049,9,42
16049,10,64
16049,11,42
16050,7,20
16050,8,36
16050,9,34
16050,10,60
16050,11,39
16051,7,27
16051,8,60
16051,9,33
16051,10,80
16051,11,40
16052,7,26
16052,8,50
16052,9,28
16052,10,67
16052,11,41
16053,7,39
16053,8,76
16053,9,80
16053,10,126
16053,11,70
16054,7,57
16054,8,98
16054,9,90
16054,10,160
16054,11,95
16055,7,52
16055,8,72
16055,9,77
16055,10,130
16055,11,85
16056,7,25
16056,8,51
16056,9,46
16056,10,45
16056,11,49
16057,7,31
16057,8,64
16057,9,58
16057,10,57
16057,11,62
16058,7,25
16058,8,51
16058,9,46
16058,10,45
16058,11,49
16059,7,18
16059,8,38
16059,9,35
16059,10,34
16059,11,37
16064,7,35
16064,8,72
16064,9,65
16064,10,63
16064,11,69
16065,7,39
16065,8,81
16065,9,73
16065,10,71
16065,11,78
16066,7,28
16066,8,58
16066,9,53
16066,10,51
16066,11,56
16067,7,21
16067,8,44
16067,9,40
16067,10,39
16067,11,43
16433,7,129
16433,8,113
16433,9,226
16433,10,210
16433,11,95
16434,7,206
16434,8,168
16434,9,320
16434,10,307
16434,11,168
16435,7,161
16435,8,126
16435,9,238
16435,10,226
16435,11,130
16437,7,266
16437,8,173
16437,9,355
16437,10,365
16437,11,156
16438,7,409
16438,8,302
16438,9,585
16438,10,596
16438,11,254
16439,7,279
16439,8,196
16439,9,384
16439,10,384
16439,11,160
16440,7,28
16440,8,8
16440,9,15
16440,10,38
16440,11,114
16441,7,386
16441,8,196
16441,9,364
16441,10,478
16441,11,204
16442,7,552
16442,8,322
16442,9,604
16442,10,743
16442,11,330
16443,7,289
16443,8,184
16443,9,335
16443,10,419
16443,11,180
16444,7,23
16444,8,6
16444,9,49
16444,10,191
16444,11,186
16453,7,108
16453,8,72
16453,9,135
16453,10,178
16453,11,111
16454,7,222
16454,8,182
16454,9,288
16454,10,330
16454,11,175
16455,7,151
16455,8,107
16455,9,201
16455,10,204
16455,11,128
16456,7,58
16456,8,38
16456,9,82
16456,10,108
16456,11,48
16457,7,297
16457,8,189
16457,9,347
16457,10,399
16457,11,171
16458,7,566
16458,8,429
16458,9,676
16458,10,728
16458,11,336
16459,7,392
16459,8,276
16459,9,517
16459,10,535
16459,11,239
16460,7,152
16460,8,88
16460,9,214
16460,10,230
16460,11,92
16461,7,394
16461,8,266
16461,9,424
16461,10,532
16461,11,243
16462,7,636
16462,8,497
16462,9,734
16462,10,909
16462,11,409
16463,7,485
16463,8,333
16463,9,589
16463,10,642
16463,11,345
16464,7,153
16464,8,92
16464,9,218
16464,10,254
16464,11,102
16664,7,20
16664,8,28
16664,9,38
16664,10,41
16664,11,31
16665,7,25
16665,8,26
16665,9,40
16665,10,49
