idproduto,referencia,curva_abc,ano,mes,qtd
10464,503303,A,2026,7,89
10464,503303,A,2026,8,109
10464,503303,A,2026,9,119
10464,503303,A,2026,10,89
10464,503303,A,2026,11,59
10476,503303,A,2026,7,95
10476,503303,A,2026,8,101
10476,503303,A,2026,9,140
10476,503303,A,2026,10,94
10476,503303,A,2026,11,62
10477,503303,A,2026,7,149
10477,503303,A,2026,8,167
10477,503303,A,2026,9,207
10477,503303,A,2026,10,149
10477,503303,A,2026,11,88
10478,503303,A,2026,7,128
10478,503303,A,2026,8,155
10478,503303,A,2026,9,207
10478,503303,A,2026,10,94
10478,503303,A,2026,11,87
10480,503303,A,2026,7,57
10480,503303,A,2026,8,49
10480,503303,A,2026,9,226
10480,503303,A,2026,10,78
10480,503303,A,2026,11,48
10481,503303,A,2026,7,101
10481,503303,A,2026,8,83
10481,503303,A,2026,9,239
10481,503303,A,2026,10,74
10481,503303,A,2026,11,60
10482,503303,A,2026,7,80
10482,503303,A,2026,8,79
10482,503303,A,2026,9,244
10482,503303,A,2026,10,59
10482,503303,A,2026,11,40
10483,503303,A,2026,7,52
10483,503303,A,2026,8,53
10483,503303,A,2026,9,222
10483,503303,A,2026,10,69
10483,503303,A,2026,11,36
10494,503400,B,2026,7,76
10494,503400,B,2026,8,98
10494,503400,B,2026,9,215
10494,503400,B,2026,10,105
10494,503400,B,2026,11,45
10495,503400,B,2026,7,136
10495,503400,B,2026,8,136
10495,503400,B,2026,9,383
10495,503400,B,2026,10,148
10495,503400,B,2026,11,63
10496,503400,B,2026,7,94
10496,503400,B,2026,8,120
10496,503400,B,2026,9,301
10496,503400,B,2026,10,128
10496,503400,B,2026,11,60
10786,503810,D,2026,7,19
10786,503810,D,2026,8,28
10786,503810,D,2026,9,39
10786,503810,D,2026,10,19
10786,503810,D,2026,11,11
10787,503810,D,2026,7,37
10787,503810,D,2026,8,56
10787,503810,D,2026,9,79
10787,503810,D,2026,10,37
10787,503810,D,2026,11,22
10788,503810,D,2026,7,39
10788,503810,D,2026,8,58
10788,503810,D,2026,9,82
10788,503810,D,2026,10,39
10788,503810,D,2026,11,23
13561,703001,B,2026,7,40
13561,703001,B,2026,8,55
13561,703001,B,2026,9,62
13561,703001,B,2026,10,98
13561,703001,B,2026,11,43
13562,703001,B,2026,7,25
13562,703001,B,2026,8,50
13562,703001,B,2026,9,64
13562,703001,B,2026,10,69
13562,703001,B,2026,11,36
13576,703001,B,2026,7,55
13576,703001,B,2026,8,65
13576,703001,B,2026,9,93
13576,703001,B,2026,10,99
13576,703001,B,2026,11,58
13586,703001,B,2026,7,97
13586,703001,B,2026,8,137
13586,703001,B,2026,9,152
13586,703001,B,2026,10,196
13586,703001,B,2026,11,92
13587,703001,B,2026,7,95
13587,703001,B,2026,8,149
13587,703001,B,2026,9,120
13587,703001,B,2026,10,186
13587,703001,B,2026,11,94
13588,703001,B,2026,7,50
13588,703001,B,2026,8,77
13588,703001,B,2026,9,84
13588,703001,B,2026,10,125
13588,703001,B,2026,11,61
13589,703001,B,2026,7,30
13589,703001,B,2026,8,63
13589,703001,B,2026,9,64
13589,703001,B,2026,10,98
13589,703001,B,2026,11,49
13595,703001,B,2026,7,68
13595,703001,B,2026,8,92
13595,703001,B,2026,9,97
13595,703001,B,2026,10,122
13595,703001,B,2026,11,73
16030,703302,C,2026,7,17
16030,703302,C,2026,8,35
16030,703302,C,2026,9,32
16030,703302,C,2026,10,31
16030,703302,C,2026,11,34
16031,703302,C,2026,7,21
16031,703302,C,2026,8,45
16031,703302,C,2026,9,40
16031,703302,C,2026,10,39
16031,703302,C,2026,11,43
16032,703302,C,2026,7,19
16032,703302,C,2026,8,40
16032,703302,C,2026,9,37
16032,703302,C,2026,10,36
16032,703302,C,2026,11,39
16033,703302,C,2026,7,15
16033,703302,C,2026,8,31
16033,703302,C,2026,9,28
16033,703302,C,2026,10,27
16033,703302,C,2026,11,30
16034,703302,C,2026,7,16
16034,703302,C,2026,8,33
16034,703302,C,2026,9,30
16034,703302,C,2026,10,29
16034,703302,C,2026,11,32
16035,703302,C,2026,7,17
16035,703302,C,2026,8,35
16035,703302,C,2026,9,31
16035,703302,C,2026,10,30
16035,703302,C,2026,11,33
16036,703302,C,2026,7,14
16036,703302,C,2026,8,29
16036,703302,C,2026,9,26
16036,703302,C,2026,10,25
16036,703302,C,2026,11,28
16037,703302,C,2026,7,11
16037,703302,C,2026,8,23
16037,703302,C,2026,9,21
16037,703302,C,2026,10,20
16037,703302,C,2026,11,22
16042,703008,B,2026,7,22
16042,703008,B,2026,8,50
16042,703008,B,2026,9,61
16042,703008,B,2026,10,61
16042,703008,B,2026,11,30
16043,703008,B,2026,7,34
16043,703008,B,2026,8,58
16043,703008,B,2026,9,57
16043,703008,B,2026,10,70
16043,703008,B,2026,11,40
16044,703008,B,2026,7,22
16044,703008,B,2026,8,31
16044,703008,B,2026,9,43
16044,703008,B,2026,10,60
16044,703008,B,2026,11,34
16045,703008,B,2026,7,15
16045,703008,B,2026,8,22
16045,703008,B,2026,9,31
16045,703008,B,2026,10,51
16045,703008,B,2026,11,32
16046,703008,B,2026,7,40
16046,703008,B,2026,8,71
16046,703008,B,2026,9,82
16046,703008,B,2026,10,96
16046,703008,B,2026,11,63
16047,703008,B,2026,7,54
16047,703008,B,2026,8,78
16047,703008,B,2026,9,89
16047,703008,B,2026,10,138
16047,703008,B,2026,11,78
16048,703008,B,2026,7,41
16048,703008,B,2026,8,45
16048,703008,B,2026,9,64
16048,703008,B,2026,10,92
16048,703008,B,2026,11,41
16049,703008,B,2026,7,20
16049,703008,B,2026,8,32
16049,703008,B,2026,9,42
16049,703008,B,2026,10,64
16049,703008,B,2026,11,42
16050,703602,B,2026,7,20
16050,703602,B,2026,8,36
16050,703602,B,2026,9,34
16050,703602,B,2026,10,60
16050,703602,B,2026,11,39
16051,703602,B,2026,7,27
16051,703602,B,2026,8,60
16051,703602,B,2026,9,33
16051,703602,B,2026,10,80
16051,703602,B,2026,11,40
16052,703602,B,2026,7,26
16052,703602,B,2026,8,50
16052,703602,B,2026,9,28
16052,703602,B,2026,10,67
16052,703602,B,2026,11,41
16053,703602,B,2026,7,39
16053,703602,B,2026,8,76
16053,703602,B,2026,9,80
16053,703602,B,2026,10,126
16053,703602,B,2026,11,70
16054,703602,B,2026,7,57
16054,703602,B,2026,8,98
16054,703602,B,2026,9,90
16054,703602,B,2026,10,160
16054,703602,B,2026,11,95
16055,703602,B,2026,7,52
16055,703602,B,2026,8,72
16055,703602,B,2026,9,77
16055,703602,B,2026,10,130
16055,703602,B,2026,11,85
16056,703402,C,2026,7,25
16056,703402,C,2026,8,51
16056,703402,C,2026,9,46
16056,703402,C,2026,10,45
16056,703402,C,2026,11,49
16057,703402,C,2026,7,31
16057,703402,C,2026,8,64
16057,703402,C,2026,9,58
16057,703402,C,2026,10,57
16057,703402,C,2026,11,62
16058,703402,C,2026,7,25
16058,703402,C,2026,8,51
16058,703402,C,2026,9,46
16058,703402,C,2026,10,45
16058,703402,C,2026,11,49
16059,703402,C,2026,7,18
16059,703402,C,2026,8,38
16059,703402,C,2026,9,35
16059,703402,C,2026,10,34
16059,703402,C,2026,11,37
16064,703402,C,2026,7,35
16064,703402,C,2026,8,72
16064,703402,C,2026,9,65
16064,703402,C,2026,10,63
16064,703402,C,2026,11,69
16065,703402,C,2026,7,39
16065,703402,C,2026,8,81
16065,703402,C,2026,9,73
16065,703402,C,2026,10,71
16065,703402,C,2026,11,78
16066,703402,C,2026,7,28
16066,703402,C,2026,8,58
16066,703402,C,2026,9,53
16066,703402,C,2026,10,51
16066,703402,C,2026,11,56
16067,703402,C,2026,7,21
16067,703402,C,2026,8,44
16067,703402,C,2026,9,40
16067,703402,C,2026,10,39
16067,703402,C,2026,11,43
16433,301701,A,2026,7,129
16433,301701,A,2026,8,113
16433,301701,A,2026,9,226
16433,301701,A,2026,10,210
16433,301701,A,2026,11,95
16434,301701,A,2026,7,206
16434,301701,A,2026,8,168
16434,301701,A,2026,9,320
16434,301701,A,2026,10,307
16434,301701,A,2026,11,168
16435,301701,A,2026,7,161
16435,301701,A,2026,8,126
16435,301701,A,2026,9,238
16435,301701,A,2026,10,226
16435,301701,A,2026,11,130
16437,301701,A,2026,7,266
16437,301701,A,2026,8,173
16437,301701,A,2026,9,355
16437,301701,A,2026,10,365
16437,301701,A,2026,11,156
16438,301701,A,2026,7,409
16438,301701,A,2026,8,302
16438,301701,A,2026,9,585
16438,301701,A,2026,10,596
16438,301701,A,2026,11,254
16439,301701,A,2026,7,279
16439,301701,A,2026,8,196
16439,301701,A,2026,9,384
16439,301701,A,2026,10,384
16439,301701,A,2026,11,160
16440,301701,A,2026,7,28
16440,301701,A,2026,8,8
16440,301701,A,2026,9,15
16440,301701,A,2026,10,38
16440,301701,A,2026,11,114
16441,301701,A,2026,7,386
16441,301701,A,2026,8,196
16441,301701,A,2026,9,364
16441,301701,A,2026,10,478
16441,301701,A,2026,11,204
16442,301701,A,2026,7,552
16442,301701,A,2026,8,322
16442,301701,A,2026,9,604
16442,301701,A,2026,10,743
16442,301701,A,2026,11,330
16443,301701,A,2026,7,289
16443,301701,A,2026,8,184
16443,301701,A,2026,9,335
16443,301701,A,2026,10,419
16443,301701,A,2026,11,180
16444,301701,A,2026,7,23
16444,301701,A,2026,8,6
16444,301701,A,2026,9,49
16444,301701,A,2026,10,191
16444,301701,A,2026,11,186
16453,301103,A,2026,7,108
16453,301103,A,2026,8,72
16453,301103,A,2026,9,135
16453,301103,A,2026,10,178
16453,301103,A,2026,11,111
16454,301103,A,2026,7,222
16454,301103,A,2026,8,182
16454,301103,A,2026,9,288
16454,301103,A,2026,10,330
16454,301103,A,2026,11,175
16455,301103,A,2026,7,151
16455,301103,A,2026,8,107
16455,301103,A,2026,9,201
16455,301103,A,2026,10,204
16455,301103,A,2026,11,128
16456,301103,A,2026,7,58
16456,301103,A,2026,8,38
16456,301103,A,2026,9,82
16456,301103,A,2026,10,108
16456,301103,A,2026,11,48
16457,301103,A,2026,7,297
16457,301103,A,2026,8,189
16457,301103,A,2026,9,347
16457,301103,A,2026,10,399
16457,301103,A,2026,11,171
16458,301103,A,2026,7,566
16458,301103,A,2026,8,429
16458,301103,A,2026,9,676
16458,301103,A,2026,10,728
16458,301103,A,2026,11,336
16459,301103,A,2026,7,392
16459,301103,A,2026,8,276
16459,301103,A,2026,9,517
16459,301103,A,2026,10,535
16459,301103,A,2026,11,239
16460,301103,A,2026,7,152
16460,301103,A,2026,8,88
16460,301103,A,2026,9,214
16460,301103,A,2026,10,230
16460,301103,A,2026,11,92
16461,301103,A,2026,7,394
16461,301103,A,2026,8,266
16461,301103,A,2026,9,424
16461,301103,A,2026,10,532
16461,301103,A,2026,11,243
16462,301103,A,2026,7,636
16462,301103,A,2026,8,497
16462,301103,A,2026,9,734
16462,301103,A,2026,10,909
16462,301103,A,2026,11,409
16463,301103,A,2026,7,485
16463,301103,A,2026,8,333
16463,301103,A,2026,9,589
16463,301103,A,2026,10,642
16463,301103,A,2026,11,345
16464,301103,A,2026,7,153
16464,301103,A,2026,8,92
16464,301103,A,2026,9,218
16464,301103,A,2026,10,254
16464,301103,A,2026,11,102
16664,703008,B,2026,7,20
16664,703008,B,2026,8,28
16664,703008,B,2026,9,38
16664,703008,B,2026,10,41
16664,703008,B,2026,11,31
16665,703008,B,2026,7,25
16665,703008,B,2026,8,26
16665,703008,B,2026,9,40
16665,703008,B,2026,10,49
