idproduto;mes;qtd
35368;ago;105
35369;ago;209
35370;ago;141
35371;ago;63
35384;ago;83
35385;ago;210
35386;ago;172
35387;ago;89
35324;ago;191
35325;ago;326
35326;ago;199
35327;ago;87
35440;ago;89
35441;ago;211
35442;ago;177
35443;ago;83
35272;ago;73
35273;ago;170
35274;ago;200
35275;ago;158
35295;ago;107
35296;ago;208
35297;ago;195
35298;ago;120
35310;ago;43
35311;ago;95
35312;ago;121
35313;ago;104
35314;ago;69
37972;ago;40
37973;ago;76
37974;ago;64
37975;ago;36
37976;ago;24
38055;ago;21
38056;ago;33
38057;ago;35
38058;ago;24
38047;ago;16
38048;ago;27
38049;ago;29
38050;ago;25
38039;ago;22
38040;ago;44
38041;ago;36
38042;ago;21
37944;ago;23
37945;ago;29
37946;ago;31
37947;ago;21
38059;ago;23
38060;ago;29
38061;ago;31
38062;ago;21
37822;ago;29
37823;ago;50
37824;ago;39
37825;ago;24
37826;ago;30
37827;ago;52
37828;ago;40
37829;ago;24
37830;ago;29
37831;ago;50
37832;ago;39
37833;ago;24
37960;ago;41
37961;ago;55
37962;ago;46
37963;ago;29
37977;ago;46
37978;ago;78
37979;ago;67
37980;ago;39
38287;ago;38
38288;ago;46
38289;ago;44
38290;ago;30
37956;ago;29
37957;ago;43
37958;ago;40
37959;ago;21
38063;ago;29
38064;ago;43
38065;ago;40
38066;ago;21
38043;ago;18
38044;ago;30
38045;ago;25
38046;ago;17
37968;ago;52
37969;ago;76
37970;ago;66
37971;ago;42
37964;ago;26
37965;ago;44
37966;ago;27
37967;ago;12
35336;ago;133
35337;ago;503
35338;ago;518
35339;ago;325
35356;ago;105
35357;ago;282
35358;ago;258
35359;ago;153
35228;ago;207
35229;ago;346
35230;ago;225
35231;ago;86
37551;ago;28
37552;ago;77
37553;ago;77
37820;ago;51
37555;ago;12
37556;ago;33
37557;ago;33
37821;ago;22
35212;ago;159
35213;ago;241
35214;ago;141
35215;ago;47
35244;ago;111
35245;ago;197
35246;ago;185
35247;ago;123
35260;ago;48
35261;ago;123
