idproduto;mes;qtd
35368;dez;16
35369;dez;31
35370;dez;21
35371;dez;9
35384;dez;12
35385;dez;31
35386;dez;26
35387;dez;13
35324;dez;28
35325;dez;49
35326;dez;30
35327;dez;13
35440;dez;13
35441;dez;31
35442;dez;26
35443;dez;12
35272;dez;11
35273;dez;25
35274;dez;30
35275;dez;23
35295;dez;16
35296;dez;31
35297;dez;29
35298;dez;18
35310;dez;6
35311;dez;14
35312;dez;18
35313;dez;15
35314;dez;10
37972;dez;6
37973;dez;11
37974;dez;10
37975;dez;5
37976;dez;4
38055;dez;3
38056;dez;5
38057;dez;5
38058;dez;4
38047;dez;2
38048;dez;4
38049;dez;4
38050;dez;4
38039;dez;3
38040;dez;7
38041;dez;5
38042;dez;3
37944;dez;3
37945;dez;4
37946;dez;5
37947;dez;3
38059;dez;3
38060;dez;4
38061;dez;5
38062;dez;3
37822;dez;4
37823;dez;7
37824;dez;6
37825;dez;4
37826;dez;4
37827;dez;8
37828;dez;6
37829;dez;4
37830;dez;4
37831;dez;7
37832;dez;6
37833;dez;4
37960;dez;6
37961;dez;8
37962;dez;7
37963;dez;4
37977;dez;7
37978;dez;12
37979;dez;10
37980;dez;6
38287;dez;6
38288;dez;7
38289;dez;7
38290;dez;4
37956;dez;4
37957;dez;6
37958;dez;6
37959;dez;3
38063;dez;4
38064;dez;6
38065;dez;6
38066;dez;3
38043;dez;3
38044;dez;5
38045;dez;4
38046;dez;3
37968;dez;8
37969;dez;11
37970;dez;10
37971;dez;6
37964;dez;4
37965;dez;7
37966;dez;4
37967;dez;2
35336;dez;20
35337;dez;75
35338;dez;77
35339;dez;48
35356;dez;16
35357;dez;42
35358;dez;38
35359;dez;23
35228;dez;31
35229;dez;51
35230;dez;33
35231;dez;13
37551;dez;4
37552;dez;11
37553;dez;11
37820;dez;8
37555;dez;2
37556;dez;5
37557;dez;5
37821;dez;3
35212;dez;24
35213;dez;36
35214;dez;21
35215;dez;7
35244;dez;17
35245;dez;29
35246;dez;28
35247;dez;18
35260;dez;7
35261;dez;18
35262;dez;23
35263;dez;16
38005;dez;6
38006;dez;9
38007;dez;7
38008;dez;4
38009;dez;6
38010;dez;9
38011;dez;7
38012;dez;4
38315;dez;8
38316;dez;15
38317;dez;13
38318;dez;8
38307;dez;8
38308;dez;15
38309;dez;13
38310;dez;8
37852;dez;6
37853;dez;10
37854;dez;8
37855;dez;5
37856;dez;7
37857;dez;12
37858;dez;10
37859;dez;6
37860;dez;10
37861;dez;17
37862;dez;14
37863;dez;9
37864;dez;6
37865;dez;10
37866;dez;8
37867;dez;5
37427;dez;7
37428;dez;11
37429;dez;10
37430;dez;5
37678;dez;7
37679;dez;11
37680;dez;10
37681;dez;5
37511;dez;8
37512;dez;13
37513;dez;11
37514;dez;6
37519;dez;6
37520;dez;11
37521;dez;9
37522;dez;5
36846;dez;11
36847;dez;18
36848;dez;16
36849;dez;10
36854;dez;9
36855;dez;15
36856;dez;13
36857;dez;8
37368;dez;40
37369;dez;68
37370;dez;60
37371;dez;56
37372;dez;96
37373;dez;84
37840;dez;32
37841;dez;45
37842;dez;32
37843;dez;55
37844;dez;48
37845;dez;26
37846;dez;32
37847;dez;55
37848;dez;48
37849;dez;26
37457;dez;14
37458;dez;24
37459;dez;21
37686;dez;11
37454;dez;14
37455;dez;24
37456;dez;21
37687;dez;11
38298;dez;2
38299;dez;6
38300;dez;8
38301;dez;6
38294;dez;2
38295;dez;6
38296;dez;8
38297;dez;6
37744;dez;6
37745;dez;12
37746;dez;12
37747;dez;9
37748;dez;6
37749;dez;12
37750;dez;12
37751;dez;9
37997;dez;16
37998;dez;23
37999;dez;17
38000;dez;7
38001;dez;16
38002;dez;23
38003;dez;17
38004;dez;7
37752;dez;24
37753;dez;44
37754;dez;34
37755;dez;19
37756;dez;24
37757;dez;44
37758;dez;34
37759;dez;19
37760;dez;10
37761;dez;14
37762;dez;11
37763;dez;6
37764;dez;10
37765;dez;14
37766;dez;11
37767;dez;6
37701;dez;5
37702;dez;8
37703;dez;8
37704;dez;4
37705;dez;5
37706;dez;8
37707;dez;8
37708;dez;4
37709;dez;8
37710;dez;10
37711;dez;7
37712;dez;8
37713;dez;10
37714;dez;7
37715;dez;7
37716;dez;10
37717;dez;8
37718;dez;7
37719;dez;10
37720;dez;8
36987;dez;19
36988;dez;32
36989;dez;29
36993;dez;16
36994;dez;27
36995;dez;23
37868;dez;15
37869;dez;12
37736;dez;9
37737;dez;21
37738;dez;24
37739;dez;17
37740;dez;9
37741;dez;21
37742;dez;24
37743;dez;17
37570;dez;12
37571;dez;14
37572;dez;12
37573;dez;7
37574;dez;10
37575;dez;11
37576;dez;10
37577;dez;6
37674;dez;4
37675;dez;9
37676;dez;10
37677;dez;7
37076;dez;4
37077;dez;9
37078;dez;10
37079;dez;7
36890;dez;6
36891;dez;12
36892;dez;13
36893;dez;10
36905;dez;5
36906;dez;10
36907;dez;11
36908;dez;8
37721;dez;12
37722;dez;15
37723;dez;11
37724;dez;8
37725;dez;12
37726;dez;15
37727;dez;11
37728;dez;8
37590;dez;10
37591;dez;12
37592;dez;10
37593;dez;6
37682;dez;10
37683;dez;12
37684;dez;10
37685;dez;6
37989;dez;12
37990;dez;18
37991;dez;15
37992;dez;9
37993;dez;12
37994;dez;18
37995;dez;15
37996;dez;9
36871;dez;5
36872;dez;10
36873;dez;12
36874;dez;9
36879;dez;4
36880;dez;8
36881;dez;10
36882;dez;7
37153;dez;6
37154;dez;10
37155;dez;9
37156;dez;4
37161;dez;6
37162;dez;10
37163;dez;9
37164;dez;4
37730;dez;2
37731;dez;4
37732;dez;3
37733;dez;2
37734;dez;4
37735;dez;3
38286;dez;2
38293;dez;2
38322;dez;3
38323;dez;4
38324;dez;4
38325;dez;3
38326;dez;7
38327;dez;10
38328;dez;9
38329;dez;7
37657;dez;9
37658;dez;11
37659;dez;9
37660;dez;6
37697;dez;9
37698;dez;11
37699;dez;9
37700;dez;6
38376;dez;2
38377;dez;4
38378;dez;3
38379;dez;2
38372;dez;5
38373;dez;9
38374;dez;7
38375;dez;4
37183;dez;2
37184;dez;4
37185;dez;3
37186;dez;2
37187;dez;6
37188;dez;9
37189;dez;7
37190;dez;4
38364;dez;6
38365;dez;10
38366;dez;7
38367;dez;4
38368;dez;6
38369;dez;10
38370;dez;7
38371;dez;4
37088;dez;9
37089;dez;15
37090;dez;12
37091;dez;6
37790;dez;6
37791;dez;10
37792;dez;8
37793;dez;4
37165;dez;6
37166;dez;10
37167;dez;9
37168;dez;5
37169;dez;4
37170;dez;7
37171;dez;6
37172;dez;3
36037;dez;5
36038;dez;9
36039;dez;9
36040;dez;5
37117;dez;17
37118;dez;26
37119;dez;20
37834;dez;7
37120;dez;17
37121;dez;26
37122;dez;20
37835;dez;7
37096;dez;24
37097;dez;36
37098;dez;29
37099;dez;15
37806;dez;16
37807;dez;24
37808;dez;19
37809;dez;10
37173;dez;7
37174;dez;11
37175;dez;7
37176;dez;5
37177;dez;9
37178;dez;6
37836;dez;7
37837;dez;6
37346;dez;12
37347;dez;29
37348;dez;17
37349;dez;6
37350;dez;13
37351;dez;31
37352;dez;19
37353;dez;7
37034;dez;8
37035;dez;12
37036;dez;9
37838;dez;3
37031;dez;7
37032;dez;11
37033;dez;9
37839;dez;3
36033;dez;8
36034;dez;12
36035;dez;11
36036;dez;6
37021;dez;15
37022;dez;25
37023;dez;22
37024;dez;13
37025;dez;6
37026;dez;16
37027;dez;27
37028;dez;24
37029;dez;14
37030;dez;6
37052;dez;15
37053;dez;24
37054;dez;19
37055;dez;10
37056;dez;15
37057;dez;24
37058;dez;19
37059;dez;10
37362;dez;25
37363;dez;38
37364;dez;30
37794;dez;10
37796;dez;17
37797;dez;26
37798;dez;20
37799;dez;7
36953;dez;11
36954;dez;18
36955;dez;14
36956;dez;7
36957;dez;12
36958;dez;10
37818;dez;5
37819;dez;7
37410;dez;18
37411;dez;27
37412;dez;21
37413;dez;7
37406;dez;14
37407;dez;22
37408;dez;17
37409;dez;6
38030;dez;1
38031;dez;1
38032;dez;2
38033;dez;2
38034;dez;2
38035;dez;3
38036;dez;2
38037;dez;2
38038;dez;2
37039;dez;14
37040;dez;16
37041;dez;13
37042;dez;8
37043;dez;13
37044;dez;15
37045;dez;12
37046;dez;7
37064;dez;9
37065;dez;13
37066;dez;9
37067;dez;6
37068;dez;9
37069;dez;13
37070;dez;9
37071;dez;6
37483;dez;9
37484;dez;11
37485;dez;8
37486;dez;5
37487;dez;7
37488;dez;9
37489;dez;7
37490;dez;4
37400;dez;6
37401;dez;13
37402;dez;15
37403;dez;11
37394;dez;6
37395;dez;12
37396;dez;14
37397;dez;10
37784;dez;4
37785;dez;8
37786;dez;10
37787;dez;8
37013;dez;6
37014;dez;13
37015;dez;15
37016;dez;11
36997;dez;2
36998;dez;4
36999;dez;5
37000;dez;4
37001;dez;3
37002;dez;6
37003;dez;7
37004;dez;6
38021;dez;1
38022;dez;1
38023;dez;2
38024;dez;2
38025;dez;3
38026;dez;2
38027;dez;2
38028;dez;2
38029;dez;2
37374;dez;5
37375;dez;4
37376;dez;3
37378;dez;4
37379;dez;4
37380;dez;3
38343;dez;4
38344;dez;4
36971;dez;6
36972;dez;8
36973;dez;6
36974;dez;4
36975;dez;4
36976;dez;5
36977;dez;4
36978;dez;3
38014;dez;1
38015;dez;5
38016;dez;2
38017;dez;5
38018;dez;3
38019;dez;4
38020;dez;2
38384;dez;5
38385;dez;9
38386;dez;9
38387;dez;3
38380;dez;5
38381;dez;9
38382;dez;9
38383;dez;3
37661;dez;6
37662;dez;7
37663;dez;5
37664;dez;3
37669;dez;6
37670;dez;7
37671;dez;5
37672;dez;3
37491;dez;9
37492;dez;10
37493;dez;8
37494;dez;4
37495;dez;7
37496;dez;8
37497;dez;6
37498;dez;3
37009;dez;13
37010;dez;14
37011;dez;11
37012;dez;5
37800;dez;9
37801;dez;10
37802;dez;7
37803;dez;3
37623;dez;9
37624;dez;11
37625;dez;9
37626;dez;5
37627;dez;11
37628;dez;13
37629;dez;11
37630;dez;7
37610;dez;9
37611;dez;13
37612;dez;8
37613;dez;5
37614;dez;9
37615;dez;12
37616;dez;8
37617;dez;5
37637;dez;5
37638;dez;7
37639;dez;4
37640;dez;3
37641;dez;5
37642;dez;7
37643;dez;4
37644;dez;3
37850;dez;38
37851;dez;25
37598;dez;13
37599;dez;11
37600;dez;13
37601;dez;11
38291;dez;13
38292;dez;11
37544;dez;8
37545;dez;6
37546;dez;4
37815;dez;5
37816;dez;4
37817;dez;3
37890;dez;6
37891;dez;4
37892;dez;4
37893;dez;7
37894;dez;6
37895;dez;5
37903;dez;7
37904;dez;5
37905;dez;3
37896;dez;8
37897;dez;5
37898;dez;5
37440;dez;9
37441;dez;7
37442;dez;5
37694;dez;9
37695;dez;7
37696;dez;5
36862;dez;12
36863;dez;9
36864;dez;7
36865;dez;10
36866;dez;7
36867;dez;6
37880;dez;6
37881;dez;8
37882;dez;6
37883;dez;4
37884;dez;4
37499;dez;4
37500;dez;4
37501;dez;3
37502;dez;2
37507;dez;3
37508;dez;3
37509;dez;3
37510;dez;2
37870;dez;4
37871;dez;4
37872;dez;4
37873;dez;3
37874;dez;2
37886;dez;3
37887;dez;2
37888;dez;2
37889;dez;1
37464;dez;3
37465;dez;3
37466;dez;3
37467;dez;2
37688;dez;3
37689;dez;3
37690;dez;3
37691;dez;2
37417;dez;4
37418;dez;4
37419;dez;4
37420;dez;3
37810;dez;3
37811;dez;3
37812;dez;2
37813;dez;2
37875;dez;4
37876;dez;4
37877;dez;4
37878;dez;3
38441;dez;3
38442;dez;6
38443;dez;5
38444;dez;3
38437;dez;7
38438;dez;15
38439;dez;13
38440;dez;8
38449;dez;3
38450;dez;6
38451;dez;6
38452;dez;3
38461;dez;2
38462;dez;4
38463;dez;4
38464;dez;2
38457;dez;4
38458;dez;8
38459;dez;7
38460;dez;4
38433;dez;5
38434;dez;11
38435;dez;10
38436;dez;6
38453;dez;4
38454;dez;8
38455;dez;7
38456;dez;4
38445;dez;3
38446;dez;6
38447;dez;6
38448;dez;3
