idproduto;mes;qtd
35368;jul;104
35369;jul;208
35370;jul;141
35371;jul;63
35384;jul;83
35385;jul;210
35386;jul;171
35387;jul;88
35324;jul;190
35325;jul;325
35326;jul;198
35327;jul;87
35440;jul;88
35441;jul;210
35442;jul;177
35443;jul;83
35272;jul;73
35273;jul;169
35274;jul;199
35275;jul;157
35295;jul;107
35296;jul;207
35297;jul;195
35298;jul;119
35310;jul;43
35311;jul;95
35312;jul;121
35313;jul;103
35314;jul;69
37972;jul;40
37973;jul;76
37974;jul;64
37975;jul;35
37976;jul;24
38055;jul;21
38056;jul;32
38057;jul;35
38058;jul;23
38047;jul;16
38048;jul;27
38049;jul;29
38050;jul;25
38039;jul;22
38040;jul;44
38041;jul;35
38042;jul;21
37944;jul;23
37945;jul;29
37946;jul;31
37947;jul;21
38059;jul;23
38060;jul;29
38061;jul;31
38062;jul;21
37822;jul;29
37823;jul;50
37824;jul;39
37825;jul;24
37826;jul;30
37827;jul;52
37828;jul;40
37829;jul;24
37830;jul;29
37831;jul;50
37832;jul;39
37833;jul;24
37960;jul;41
37961;jul;54
37962;jul;46
37963;jul;29
37977;jul;46
37978;jul;78
37979;jul;66
37980;jul;39
38287;jul;38
38288;jul;45
38289;jul;44
38290;jul;30
37956;jul;29
37957;jul;42
37958;jul;40
37959;jul;21
38063;jul;29
38064;jul;42
38065;jul;40
38066;jul;21
38043;jul;18
38044;jul;30
38045;jul;25
38046;jul;17
37968;jul;52
37969;jul;75
37970;jul;66
37971;jul;42
37964;jul;26
37965;jul;44
37966;jul;27
37967;jul;12
35336;jul;133
35337;jul;501
35338;jul;516
35339;jul;324
35356;jul;104
35357;jul;281
35358;jul;257
35359;jul;152
35228;jul;207
35229;jul;345
35230;jul;224
35231;jul;86
37551;jul;28
37552;jul;77
37553;jul;77
37820;jul;51
37555;jul;12
37556;jul;33
37557;jul;33
37821;jul;22
35212;jul;158
35213;jul;240
35214;jul;141
35215;jul;47
35244;jul;111
35245;jul;197
35246;jul;184
35247;jul;123
35260;jul;48
35261;jul;123
35262;jul;154
35263;jul;110
38005;jul;43
38006;jul;60
38007;jul;45
38008;jul;24
38009;jul;43
38010;jul;60
38011;jul;45
38012;jul;24
38315;jul;57
38316;jul;101
38317;jul;86
38318;jul;51
38307;jul;57
38308;jul;101
38309;jul;86
38310;jul;51
37852;jul;38
37853;jul;64
37854;jul;55
37855;jul;34
37856;jul;47
37857;jul;81
37858;jul;69
37859;jul;43
37860;jul;66
37861;jul;113
37862;jul;96
37863;jul;60
37864;jul;38
37865;jul;64
37866;jul;55
37867;jul;34
37427;jul;44
37428;jul;75
37429;jul;66
37430;jul;35
37678;jul;44
37679;jul;75
37680;jul;66
37681;jul;35
37511;jul;51
37512;jul;89
37513;jul;74
37514;jul;41
37519;jul;42
37520;jul;73
37521;jul;60
37522;jul;33
36846;jul;72
36847;jul;122
36848;jul;104
36849;jul;65
36854;jul;59
36855;jul;100
36856;jul;85
36857;jul;53
37368;jul;269
37369;jul;457
37370;jul;403
37371;jul;376
37372;jul;639
37373;jul;564
37840;jul;215
37841;jul;301
37842;jul;215
37843;jul;365
37844;jul;322
37845;jul;172
37846;jul;215
37847;jul;365
37848;jul;322
37849;jul;172
37457;jul;93
37458;jul;158
37459;jul;139
37686;jul;74
37454;jul;93
37455;jul;158
37456;jul;139
37687;jul;74
38298;jul;12
38299;jul;41
