idproduto;mes;qtd
35682;jun;4
35683;jun;6
35684;jun;6
35685;jun;4
35686;jun;3
35709;jun;2
35710;jun;3
35711;jun;4
35712;jun;3
35691;jun;2
35692;jun;3
35693;jun;3
35694;jun;3
35695;jun;3
35696;jun;4
35697;jun;4
35698;jun;2
35717;jun;2
35718;jun;3
35719;jun;3
35720;jun;2
35733;jun;4
35734;jun;5
35735;jun;5
35736;jun;3
35687;jun;4
35688;jun;7
35689;jun;6
35690;jun;4
35713;jun;3
35714;jun;4
35715;jun;4
35716;jun;2
35721;jun;3
35722;jun;5
35723;jun;4
35724;jun;3
35699;jun;2
35700;jun;3
35701;jun;3
35702;jun;2
35729;jun;5
35730;jun;7
35731;jun;6
35732;jun;4
36720;jun;2
36721;jun;4
36722;jun;3
36723;jun;2
35091;jun;3
35092;jun;5
35093;jun;2
35094;jun;2
36000;jun;2
36001;jun;2
36002;jun;2
36003;jun;1
35123;jun;5
35124;jun;8
35125;jun;8
35126;jun;5
35980;jun;5
35981;jun;8
35982;jun;7
35983;jun;5
35014;jun;4
35015;jun;8
35016;jun;7
35017;jun;5
35010;jun;3
35011;jun;5
35012;jun;5
35013;jun;4
34785;jun;7
34786;jun;11
34787;jun;8
34788;jun;5
34789;jun;10
34790;jun;14
34791;jun;11
34792;jun;7
35131;jun;2
35132;jun;8
35133;jun;9
35134;jun;6
35976;jun;1
35977;jun;3
35978;jun;3
35979;jun;3
35059;jun;3
35060;jun;5
35061;jun;6
35062;jun;5
35984;jun;3
35985;jun;6
35986;jun;6
35987;jun;4
35107;jun;9
35108;jun;11
35109;jun;9
35110;jun;5
35996;jun;9
35997;jun;11
35998;jun;8
35999;jun;5
35067;jun;14
35068;jun;21
35069;jun;18
35070;jun;12
35958;jun;13
35959;jun;20
35960;jun;17
35961;jun;11
35075;jun;6
35076;jun;7
35077;jun;6
35078;jun;4
35988;jun;5
35989;jun;6
35990;jun;5
35991;jun;4
34986;jun;5
34987;jun;7
34988;jun;5
34989;jun;3
34990;jun;8
34991;jun;12
34992;jun;9
34993;jun;5
35893;jun;6
35894;jun;9
35895;jun;7
35890;jun;6
35891;jun;10
35892;jun;8
35083;jun;7
35084;jun;15
35085;jun;17
35086;jun;13
35972;jun;6
35973;jun;11
35974;jun;12
35975;jun;10
34994;jun;5
34995;jun;7
34996;jun;8
34997;jun;6
34998;jun;7
34999;jun;11
35000;jun;11
35001;jun;9
36209;jun;2
36210;jun;6
36211;jun;8
36212;jun;6
36205;jun;2
36206;jun;5
36207;jun;5
36208;jun;4
35042;jun;8
35043;jun;10
35044;jun;10
35045;jun;7
35968;jun;7
35969;jun;8
36648;jun;7
35970;jun;5
35954;jun;4
35955;jun;5
35956;jun;4
35957;jun;3
35950;jun;5
35951;jun;6
35952;jun;5
35953;jun;3
35099;jun;6
35100;jun;9
35101;jun;7
35102;jun;5
35992;jun;7
35993;jun;9
35994;jun;9
35995;jun;6
34793;jun;2
34794;jun;2
34795;jun;2
34796;jun;1
34797;jun;2
34798;jun;3
34799;jun;3
34800;jun;2
35051;jun;2
35052;jun;3
35053;jun;3
35054;jun;2
35962;jun;2
35963;jun;3
35964;jun;2
35965;jun;2
35400;jun;5
35401;jun;6
35402;jun;5
35403;jun;3
35404;jun;7
35405;jun;8
35406;jun;7
35407;jun;5
36700;jun;3
36701;jun;4
36702;jun;3
36703;jun;1
36097;jun;4
36098;jun;6
36099;jun;5
36100;jun;3
36056;jun;7
36057;jun;11
36058;jun;11
36059;jun;6
35814;jun;7
35815;jun;10
35816;jun;10
35817;jun;6
34904;jun;7
34905;jun;11
34906;jun;10
34907;jun;5
34900;jun;4
34901;jun;6
34902;jun;5
34903;jun;3
36692;jun;8
36693;jun;12
36694;jun;11
36695;jun;6
34968;jun;6
34969;jun;9
34970;jun;7
34971;jun;4
36053;jun;7
36054;jun;11
36055;jun;7
35007;jun;9
35008;jun;14
35009;jun;8
34807;jun;13
34808;jun;17
34809;jun;11
34804;jun;8
34805;jun;10
34806;jun;7
35873;jun;12
35874;jun;15
35875;jun;8
35870;jun;12
35871;jun;14
35872;jun;8
35746;jun;6
35747;jun;10
35748;jun;6
35749;jun;5
35750;jun;3
35751;jun;4
35752;jun;3
35753;jun;2
35887;jun;10
35888;jun;14
35889;jun;12
36091;jun;6
36092;jun;3
35884;jun;11
35885;jun;16
35886;jun;13
36093;jun;6
36094;jun;3
35904;jun;15
35905;jun;20
35906;jun;16
35907;jun;6
35908;jun;11
35909;jun;15
35910;jun;12
35911;jun;5
36045;jun;5
36046;jun;7
36047;jun;7
36048;jun;3
34956;jun;5
34957;jun;7
34958;jun;7
34959;jun;3
36685;jun;7
36686;jun;10
36687;jun;8
34976;jun;9
34977;jun;14
34978;jun;11
36161;jun;12
36162;jun;15
36163;jun;9
36164;jun;10
36165;jun;14
36166;jun;9
35932;jun;15
35933;jun;18
35934;jun;11
35935;jun;6
35928;jun;15
35929;jun;19
35930;jun;12
35931;jun;6
36177;jun;10
36178;jun;10
36179;jun;9
36180;jun;5
36173;jun;9
36174;jun;10
36175;jun;8
36176;jun;5
36688;jun;5
36689;jun;10
36690;jun;10
36691;jun;7
34960;jun;4
34961;jun;8
34962;jun;9
34963;jun;7
35896;jun;6
35897;jun;10
35898;jun;10
35899;jun;7
35900;jun;4
35901;jun;7
35902;jun;7
35903;jun;6
35880;jun;6
35881;jun;9
35882;jun;9
35883;jun;7
35876;jun;6
35877;jun;10
35878;jun;11
35879;jun;8
36041;jun;7
36042;jun;9
36043;jun;7
36044;jun;4
34948;jun;7
34949;jun;9
34950;jun;7
34951;jun;4
35940;jun;7
35941;jun;8
35942;jun;6
35943;jun;4
35936;jun;8
35937;jun;8
35938;jun;6
35939;jun;4
36149;jun;4
36150;jun;6
36151;jun;5
36152;jun;2
36145;jun;3
36146;jun;4
36147;jun;4
36148;jun;2
34940;jun;4
34941;jun;10
34942;jun;10
34943;jun;8
34936;jun;3
34937;jun;6
34938;jun;5
34939;jun;4
36696;jun;2
36697;jun;3
36698;jun;2
36699;jun;2
35818;jun;2
35819;jun;4
35821;jun;4
35862;jun;7
35863;jun;8
35864;jun;7
35865;jun;3
35866;jun;3
35820;jun;4
35867;jun;3
35868;jun;3
35869;jun;2
36153;jun;7
36154;jun;9
36155;jun;7
36156;jun;2
36157;jun;6
36158;jun;7
36159;jun;5
36160;jun;2
36049;jun;2
36050;jun;4
36051;jun;4
36052;jun;2
35758;jun;3
35759;jun;4
35760;jun;4
35761;jun;3
34919;jun;3
34920;jun;4
34921;jun;3
34916;jun;2
34917;jun;2
34918;jun;2
36105;jun;4
36106;jun;6
36107;jun;6
36108;jun;4
36113;jun;2
36114;jun;3
36115;jun;3
36116;jun;2
36681;jun;4
36682;jun;5
36683;jun;5
36684;jun;3
35414;jun;6
35415;jun;8
35416;jun;7
35417;jun;4
36060;jun;4
36061;jun;5
36062;jun;5
36063;jun;3
35846;jun;4
35847;jun;5
35848;jun;5
35849;jun;3
35912;jun;8
35913;jun;9
35914;jun;7
35915;jun;4
35916;jun;6
35917;jun;7
35918;jun;6
35919;jun;4
36121;jun;4
36122;jun;5
36123;jun;4
36124;jun;2
36125;jun;2
36126;jun;2
36127;jun;2
36128;jun;1
36250;jun;6
36251;jun;6
36252;jun;5
36253;jun;2
36246;jun;7
36247;jun;8
36248;jun;6
36249;jun;2
36167;jun;11
36168;jun;7
36169;jun;10
36170;jun;7
36171;jun;9
36172;jun;6
35408;jun;2
35409;jun;2
35410;jun;2
35411;jun;6
35412;jun;4
35413;jun;3
35163;jun;3
35164;jun;2
35165;jun;2
35172;jun;9
35173;jun;7
35174;jun;6
35166;jun;6
35167;jun;5
35168;jun;3
35169;jun;5
35170;jun;4
35171;jun;4
36095;jun;5
35947;jun;6
35948;jun;4
35949;jun;2
36096;jun;4
35944;jun;4
35945;jun;3
35946;jun;2
35140;jun;6
35141;jun;7
35142;jun;6
35143;jun;4
35144;jun;3
36089;jun;3
35920;jun;3
35921;jun;2
35922;jun;2
35923;jun;1
36090;jun;4
35924;jun;5
35925;jun;4
35926;jun;2
35927;jun;2
36565;jun;4
36566;jun;4
36567;jun;4
36568;jun;3
36569;jun;2
36560;jun;3
36561;jun;3
36562;jun;3
36563;jun;2
36564;jun;2
35150;jun;3
35151;jun;3
35152;jun;3
35153;jun;2
35154;jun;2
35159;jun;3
35160;jun;2
35161;jun;2
35162;jun;1
36761;jun;1
36763;jun;1
35135;jun;5
35136;jun;6
35137;jun;4
35138;jun;3
