idproduto;mes;qtd
35682;mai;17
35683;mai;30
35684;mai;28
35685;mai;20
35686;mai;13
35709;mai;6
35710;mai;15
35711;mai;16
35712;mai;14
35691;mai;7
35692;mai;14
35693;mai;14
35694;mai;11
35695;mai;11
35696;mai;18
35697;mai;17
35698;mai;10
35717;mai;9
35718;mai;14
35719;mai;11
35720;mai;7
35733;mai;17
35734;mai;26
35735;mai;23
35736;mai;11
35687;mai;20
35688;mai;35
35689;mai;29
35690;mai;20
35713;mai;13
35714;mai;21
35715;mai;17
35716;mai;10
35721;mai;16
35722;mai;23
35723;mai;21
35724;mai;14
35699;mai;7
35700;mai;13
35701;mai;12
35702;mai;10
35729;mai;22
35730;mai;35
35731;mai;30
35732;mai;19
36720;mai;10
36721;mai;19
36722;mai;14
36723;mai;6
35091;mai;13
35092;mai;22
35093;mai;10
35094;mai;6
36000;mai;7
36001;mai;10
36002;mai;8
36003;mai;1
35123;mai;24
35124;mai;37
35125;mai;38
35126;mai;24
35980;mai;21
35981;mai;37
35982;mai;34
35983;mai;22
35014;mai;20
35015;mai;38
35016;mai;35
35017;mai;22
35010;mai;15
35011;mai;24
35012;mai;23
35013;mai;16
34785;mai;34
34786;mai;53
34787;mai;40
34788;mai;24
34789;mai;47
34790;mai;71
34791;mai;56
34792;mai;33
35131;mai;10
35132;mai;39
35133;mai;43
35134;mai;31
35976;mai;3
35977;mai;13
35978;mai;15
35979;mai;14
35059;mai;12
35060;mai;24
35061;mai;28
35062;mai;22
35984;mai;16
35985;mai;28
35986;mai;27
35987;mai;20
35107;mai;43
35108;mai;57
35109;mai;44
35110;mai;24
35996;mai;42
35997;mai;56
35998;mai;40
35999;mai;24
35067;mai;69
35068;mai;108
35069;mai;92
35070;mai;57
35958;mai;63
35959;mai;103
35960;mai;85
35961;mai;55
35075;mai;27
35076;mai;36
35077;mai;31
35078;mai;17
35988;mai;23
35989;mai;27
35990;mai;24
35991;mai;16
34986;mai;22
34987;mai;36
34988;mai;23
34989;mai;14
34990;mai;37
34991;mai;60
34992;mai;43
34993;mai;25
35893;mai;29
35894;mai;46
35895;mai;35
35890;mai;29
35891;mai;47
35892;mai;38
35083;mai;33
35084;mai;75
35085;mai;84
35086;mai;65
35972;mai;27
35973;mai;55
35974;mai;60
35975;mai;50
34994;mai;22
34995;mai;36
34996;mai;38
34997;mai;29
34998;mai;35
34999;mai;53
35000;mai;54
35001;mai;43
36209;mai;10
36210;mai;30
36211;mai;37
36212;mai;29
36205;mai;9
36206;mai;21
36207;mai;26
36208;mai;20
35042;mai;41
35043;mai;51
35044;mai;47
35045;mai;34
35968;mai;32
35969;mai;40
36648;mai;36
35970;mai;24
35954;mai;19
35955;mai;23
35956;mai;20
35957;mai;11
35950;mai;23
35951;mai;27
35952;mai;23
35953;mai;11
35099;mai;30
35100;mai;42
35101;mai;36
35102;mai;25
35992;mai;33
35993;mai;46
35994;mai;42
35995;mai;27
34793;mai;6
34794;mai;9
34795;mai;7
34796;mai;4
34797;mai;9
34798;mai;13
34799;mai;12
34800;mai;6
35051;mai;9
35052;mai;14
35053;mai;14
35054;mai;7
35962;mai;7
35963;mai;11
35964;mai;10
35965;mai;6
35400;mai;23
35401;mai;29
35402;mai;23
35403;mai;16
35404;mai;33
35405;mai;40
35406;mai;33
