idproduto;mes;qtd
35368;nov;59
35369;nov;117
35370;nov;79
35371;nov;35
35384;nov;46
35385;nov;118
35386;nov;96
35387;nov;50
35324;nov;107
35325;nov;182
35326;nov;111
35327;nov;49
35440;nov;50
35441;nov;118
35442;nov;99
35443;nov;47
35272;nov;41
35273;nov;95
35274;nov;112
35275;nov;88
35295;nov;60
35296;nov;117
35297;nov;110
35298;nov;67
35310;nov;24
35311;nov;53
35312;nov;68
35313;nov;58
35314;nov;39
37972;nov;23
37973;nov;43
37974;nov;36
37975;nov;20
37976;nov;13
38055;nov;12
38056;nov;18
38057;nov;19
38058;nov;13
38047;nov;9
38048;nov;15
38049;nov;16
38050;nov;14
38039;nov;12
38040;nov;25
38041;nov;20
38042;nov;12
37944;nov;13
37945;nov;16
37946;nov;17
37947;nov;12
38059;nov;13
38060;nov;16
38061;nov;17
38062;nov;12
37822;nov;16
37823;nov;28
37824;nov;22
37825;nov;13
37826;nov;17
37827;nov;29
37828;nov;23
37829;nov;14
37830;nov;16
37831;nov;28
37832;nov;22
37833;nov;13
37960;nov;23
37961;nov;31
37962;nov;26
37963;nov;16
37977;nov;26
37978;nov;44
37979;nov;37
37980;nov;22
38287;nov;21
38288;nov;26
38289;nov;25
38290;nov;17
37956;nov;16
37957;nov;24
37958;nov;22
37959;nov;12
38063;nov;16
38064;nov;24
38065;nov;22
38066;nov;12
38043;nov;10
38044;nov;17
38045;nov;14
38046;nov;9
37968;nov;29
37969;nov;42
37970;nov;37
37971;nov;24
37964;nov;15
37965;nov;25
37966;nov;15
37967;nov;7
35336;nov;75
35337;nov;282
35338;nov;290
35339;nov;182
35356;nov;59
35357;nov;158
35358;nov;144
35359;nov;86
35228;nov;116
35229;nov;194
35230;nov;126
35231;nov;48
37551;nov;16
37552;nov;43
37553;nov;43
37820;nov;29
37555;nov;7
37556;nov;18
37557;nov;18
37821;nov;12
35212;nov;89
35213;nov;135
35214;nov;79
35215;nov;26
35244;nov;62
35245;nov;110
35246;nov;104
35247;nov;69
35260;nov;27
35261;nov;69
35262;nov;86
35263;nov;62
38005;nov;24
38006;nov;34
38007;nov;25
38008;nov;14
38009;nov;24
38010;nov;34
38011;nov;25
38012;nov;14
38315;nov;32
38316;nov;57
38317;nov;49
38318;nov;28
38307;nov;32
38308;nov;57
38309;nov;49
38310;nov;28
37852;nov;21
37853;nov;36
37854;nov;31
37855;nov;19
37856;nov;27
37857;nov;45
37858;nov;39
37859;nov;24
37860;nov;37
37861;nov;63
37862;nov;54
37863;nov;34
37864;nov;21
37865;nov;36
37866;nov;31
37867;nov;19
37427;nov;25
37428;nov;42
37429;nov;37
37430;nov;20
37678;nov;25
37679;nov;42
37680;nov;37
37681;nov;20
37511;nov;29
37512;nov;50
37513;nov;42
37514;nov;23
37519;nov;23
37520;nov;41
37521;nov;34
37522;nov;19
36846;nov;40
36847;nov;69
36848;nov;59
36849;nov;36
36854;nov;33
36855;nov;56
36856;nov;48
36857;nov;30
37368;nov;151
37369;nov;257
37370;nov;227
37371;nov;211
37372;nov;359
37373;nov;317
37840;nov;121
37841;nov;169
37842;nov;121
37843;nov;205
37844;nov;181
37845;nov;97
37846;nov;121
37847;nov;205
37848;nov;181
37849;nov;97
37457;nov;52
37458;nov;89
37459;nov;78
37686;nov;42
37454;nov;52
37455;nov;89
37456;nov;78
37687;nov;42
38298;nov;7
38299;nov;23
38300;nov;29
38301;nov;23
38294;nov;7
38295;nov;23
38296;nov;29
38297;nov;23
37744;nov;24
37745;nov;44
37746;nov;44
37747;nov;34
37748;nov;24
37749;nov;44
37750;nov;44
37751;nov;34
37997;nov;59
37998;nov;88
37999;nov;64
38000;nov;26
38001;nov;59
38002;nov;88
38003;nov;64
38004;nov;26
37752;nov;92
37753;nov;165
37754;nov;128
37755;nov;73
37756;nov;92
37757;nov;165
37758;nov;128
37759;nov;73
37760;nov;38
37761;nov;52
37762;nov;41
37763;nov;21
37764;nov;38
37765;nov;52
37766;nov;41
37767;nov;21
37701;nov;20
37702;nov;31
37703;nov;28
37704;nov;14
37705;nov;20
37706;nov;31
37707;nov;28
37708;nov;14
37709;nov;28
37710;nov;38
37711;nov;28
37712;nov;28
37713;nov;38
37714;nov;28
37715;nov;27
37716;nov;39
37717;nov;29
37718;nov;27
37719;nov;39
37720;nov;29
36987;nov;72
36988;nov;122
36989;nov;107
36993;nov;59
36994;nov;100
36995;nov;88
37868;nov;57
37869;nov;47
37736;nov;35
37737;nov;79
37738;nov;90
37739;nov;65
37740;nov;35
37741;nov;79
37742;nov;90
37743;nov;65
37570;nov;46
37571;nov;53
37572;nov;44
37573;nov;27
37574;nov;37
37575;nov;43
37576;nov;36
37577;nov;22
37674;nov;16
37675;nov;34
37676;nov;36
37677;nov;27
37076;nov;16
37077;nov;34
37078;nov;36
37079;nov;27
36890;nov;22
36891;nov;47
36892;nov;50
36893;nov;38
36905;nov;18
36906;nov;38
36907;nov;41
36908;nov;31
37721;nov;45
37722;nov;57
37723;nov;41
37724;nov;29
37725;nov;45
37726;nov;57
37727;nov;41
37728;nov;29
37590;nov;38
37591;nov;44
37592;nov;37
37593;nov;23
37682;nov;38
37683;nov;44
37684;nov;37
37685;nov;23
37989;nov;46
37990;nov;68
37991;nov;58
37992;nov;35
37993;nov;46
37994;nov;68
37995;nov;58
37996;nov;35
36871;nov;19
36872;nov;38
36873;nov;44
36874;nov;34
36879;nov;16
36880;nov;31
36881;nov;36
36882;nov;28
37153;nov;23
37154;nov;37
37155;nov;33
37156;nov;15
37161;nov;23
37162;nov;37
37163;nov;33
37164;nov;15
37730;nov;8
37731;nov;14
37732;nov;12
37733;nov;8
37734;nov;14
37735;nov;12
38286;nov;7
38293;nov;7
38322;nov;11
38323;nov;17
38324;nov;15
38325;nov;11
38326;nov;25
38327;nov;39
38328;nov;35
38329;nov;25
37657;nov;35
37658;nov;42
37659;nov;34
37660;nov;21
37697;nov;35
37698;nov;42
37699;nov;34
37700;nov;21
38376;nov;9
38377;nov;14
38378;nov;12
38379;nov;7
38372;nov;20
38373;nov;34
38374;nov;28
38375;nov;17
37183;nov;9
37184;nov;14
37185;nov;12
37186;nov;7
37187;nov;22
37188;nov;34
37189;nov;28
37190;nov;16
38364;nov;21
38365;nov;36
38366;nov;28
38367;nov;15
38368;nov;21
38369;nov;36
38370;nov;28
38371;nov;15
37088;nov;33
37089;nov;56
37090;nov;44
37091;nov;23
37790;nov;22
37791;nov;38
37792;nov;29
37793;nov;16
37165;nov;23
37166;nov;39
37167;nov;33
37168;nov;19
37169;nov;15
37170;nov;26
37171;nov;22
37172;nov;13
36037;nov;19
36038;nov;34
36039;nov;33
36040;nov;20
37117;nov;63
37118;nov;96
37119;nov;76
37834;nov;26
37120;nov;63
37121;nov;96
37122;nov;76
37835;nov;26
37096;nov;90
37097;nov;137
37098;nov;109
37099;nov;55
37806;nov;60
37807;nov;91
37808;nov;73
37809;nov;36
37173;nov;25
37174;nov;41
37175;nov;28
37176;nov;21
37177;nov;33
37178;nov;23
37836;nov;26
37837;nov;22
37346;nov;46
37347;nov;109
37348;nov;65
37349;nov;24
37350;nov;50
37351;nov;118
37352;nov;71
37353;nov;26
37034;nov;29
37035;nov;44
37036;nov;35
37838;nov;12
37031;nov;27
37032;nov;41
37033;nov;32
37839;nov;11
36033;nov;29
36034;nov;47
36035;nov;41
36036;nov;21
37021;nov;57
37022;nov;93
37023;nov;84
37024;nov;48
37025;nov;21
37026;nov;62
37027;nov;101
37028;nov;91
37029;nov;52
37030;nov;23
37052;nov;57
37053;nov;91
37054;nov;73
37055;nov;36
37056;nov;57
37057;nov;91
37058;nov;73
37059;nov;36
37362;nov;94
37363;nov;145
37364;nov;113
37794;nov;39
37796;nov;63
37797;nov;96
37798;nov;76
37799;nov;26
36953;nov;42
36954;nov;67
36955;nov;54
36956;nov;28
36957;nov;45
36958;nov;36
37818;nov;18
37819;nov;27
37410;nov;66
37411;nov;102
37412;nov;80
37413;nov;28
37406;nov;54
37407;nov;84
37408;nov;65
37409;nov;23
38030;nov;3
38031;nov;4
38032;nov;8
38033;nov;9
38034;nov;9
38035;nov;10
38036;nov;7
38037;nov;7
38038;nov;6
37039;nov;51
37040;nov;61
37041;nov;48
37042;nov;30
37043;nov;47
37044;nov;56
37045;nov;44
37046;nov;28
37064;nov;34
37065;nov;50
37066;nov;34
37067;nov;24
37068;nov;34
37069;nov;50
37070;nov;34
37071;nov;24
37483;nov;34
37484;nov;40
37485;nov;32
37486;nov;20
37487;nov;28
37488;nov;33
37489;nov;26
37490;nov;17
37400;nov;24
37401;nov;47
37402;nov;56
37403;nov;42
37394;nov;22
37395;nov;44
37396;nov;52
37397;nov;39
37784;nov;16
37785;nov;32
37786;nov;38
37787;nov;28
37013;nov;24
37014;nov;48
37015;nov;56
37016;nov;43
36997;nov;8
36998;nov;16
36999;nov;19
37000;nov;14
37001;nov;12
37002;nov;24
37003;nov;28
37004;nov;21
38021;nov;5
38022;nov;4
38023;nov;9
38024;nov;7
38025;nov;10
38026;nov;7
38027;nov;9
38028;nov;6
38029;nov;7
37374;nov;18
37375;nov;17
37376;nov;13
37378;nov;17
37379;nov;15
37380;nov;12
38343;nov;17
38344;nov;15
36971;nov;24
36972;nov;28
36973;nov;22
36974;nov;14
36975;nov;16
36976;nov;19
36977;nov;15
36978;nov;9
38014;nov;5
38015;nov;18
38016;nov;9
38017;nov;19
38018;nov;10
38019;nov;17
38020;nov;9
38384;nov;20
38385;nov;35
38386;nov;35
38387;nov;10
38380;nov;20
38381;nov;35
38382;nov;35
38383;nov;10
37661;nov;22
37662;nov;25
37663;nov;19
37664;nov;10
37669;nov;22
37670;nov;25
37671;nov;19
37672;nov;10
37491;nov;34
37492;nov;39
37493;nov;29
37494;nov;15
37495;nov;28
37496;nov;32
37497;nov;24
37498;nov;12
37009;nov;51
37010;nov;54
37011;nov;41
37012;nov;20
37800;nov;34
37801;nov;36
37802;nov;27
37803;nov;13
37623;nov;35
37624;nov;40
37625;nov;33
37626;nov;21
37627;nov;42
37628;nov;49
37629;nov;41
37630;nov;25
37610;nov;35
37611;nov;48
37612;nov;31
37613;nov;20
37614;nov;32
37615;nov;44
37616;nov;28
37617;nov;18
37637;nov;18
37638;nov;26
37639;nov;16
37640;nov;11
37641;nov;18
37642;nov;26
37643;nov;16
37644;nov;11
37850;nov;142
37851;nov;95
37598;nov;49
37599;nov;42
37600;nov;49
37601;nov;42
38291;nov;49
38292;nov;42
37544;nov;30
37545;nov;21
37546;nov;15
37815;nov;20
37816;nov;14
37817;nov;10
37890;nov;23
37891;nov;15
37892;nov;15
37893;nov;26
37894;nov;24
37895;nov;19
37903;nov;26
37904;nov;17
37905;nov;13
37896;nov;29
37897;nov;19
37898;nov;17
37440;nov;35
37441;nov;25
37442;nov;17
37694;nov;35
37695;nov;25
37696;nov;17
36862;nov;46
36863;nov;33
36864;nov;28
36865;nov;38
36866;nov;27
36867;nov;23
37880;nov;22
37881;nov;30
37882;nov;22
37883;nov;16
37884;nov;15
37499;nov;15
37500;nov;15
37501;nov;12
37502;nov;9
37507;nov;12
37508;nov;12
37509;nov;10
37510;nov;7
37870;nov;17
37871;nov;17
37872;nov;16
37873;nov;12
37874;nov;8
37886;nov;10
37887;nov;9
37888;nov;7
37889;nov;5
37464;nov;12
37465;nov;13
37466;nov;10
37467;nov;7
37688;nov;12
37689;nov;13
37690;nov;10
37691;nov;7
37417;nov;16
37418;nov;17
37419;nov;13
37420;nov;9
37810;nov;11
37811;nov;11
37812;nov;9
37813;nov;6
37875;nov;15
37876;nov;17
37877;nov;14
37878;nov;10
38441;nov;11
38442;nov;22
38443;nov;20
38444;nov;12
38437;nov;28
38438;nov;56
38439;nov;51
38440;nov;29
38449;nov;12
38450;nov;24
38451;nov;22
38452;nov;13
38461;nov;8
38462;nov;17
38463;nov;15
38464;nov;9
38457;nov;14
38458;nov;29
38459;nov;26
38460;nov;15
38433;nov;21
38434;nov;41
38435;nov;37
38436;nov;22
38453;nov;14
38454;nov;29
38455;nov;26
38456;nov;15
38445;nov;12
38446;nov;24
38447;nov;22
38448;nov;13
