idproduto;mes;qtd
35368;out;60
35369;out;120
35370;out;81
35371;out;36
35384;out;48
35385;out;120
35386;out;98
35387;out;51
35324;out;109
35325;out;186
35326;out;114
35327;out;50
35440;out;51
35441;out;121
35442;out;102
35443;out;48
35272;out;42
35273;out;97
35274;out;115
35275;out;90
35295;out;61
35296;out;119
35297;out;112
35298;out;69
35310;out;25
35311;out;54
35312;out;69
35313;out;59
35314;out;40
37972;out;23
37973;out;43
37974;out;37
37975;out;20
37976;out;14
38055;out;12
38056;out;19
38057;out;20
38058;out;13
38047;out;9
38048;out;16
38049;out;17
38050;out;15
38039;out;13
38040;out;25
38041;out;20
38042;out;12
37944;out;13
37945;out;17
37946;out;18
37947;out;12
38059;out;13
38060;out;17
38061;out;18
38062;out;12
37822;out;17
37823;out;29
37824;out;22
37825;out;14
37826;out;17
37827;out;30
37828;out;23
37829;out;14
37830;out;17
37831;out;29
37832;out;22
37833;out;14
37960;out;23
37961;out;31
37962;out;26
37963;out;17
37977;out;26
37978;out;45
37979;out;38
37980;out;22
38287;out;22
38288;out;26
38289;out;25
38290;out;17
37956;out;17
37957;out;24
37958;out;23
37959;out;12
38063;out;17
38064;out;24
38065;out;23
38066;out;12
38043;out;10
38044;out;17
38045;out;14
38046;out;10
37968;out;30
37969;out;43
37970;out;38
37971;out;24
37964;out;15
37965;out;25
37966;out;16
37967;out;7
35336;out;76
35337;out;288
35338;out;296
35339;out;186
35356;out;60
35357;out;161
35358;out;147
35359;out;88
35228;out;119
35229;out;198
35230;out;129
35231;out;49
37551;out;16
37552;out;44
37553;out;44
37820;out;29
37555;out;7
37556;out;19
37557;out;19
37821;out;13
35212;out;91
35213;out;138
35214;out;81
35215;out;27
35244;out;63
35245;out;113
35246;out;106
35247;out;71
35260;out;28
35261;out;71
35262;out;88
35263;out;63
38005;out;25
38006;out;35
38007;out;26
38008;out;14
38009;out;25
38010;out;35
38011;out;26
38012;out;14
38315;out;32
38316;out;58
38317;out;50
38318;out;29
38307;out;32
38308;out;58
38309;out;50
38310;out;29
37852;out;22
37853;out;37
37854;out;32
37855;out;20
37856;out;27
37857;out;46
37858;out;39
37859;out;25
37860;out;38
37861;out;65
37862;out;55
37863;out;34
37864;out;22
37865;out;37
37866;out;32
37867;out;20
37427;out;25
37428;out;43
37429;out;38
37430;out;20
37678;out;25
37679;out;43
37680;out;38
37681;out;20
37511;out;29
37512;out;51
37513;out;42
37514;out;23
37519;out;24
37520;out;42
37521;out;35
37522;out;19
36846;out;41
36847;out;70
36848;out;60
36849;out;37
36854;out;34
36855;out;57
36856;out;49
36857;out;30
37368;out;154
37369;out;262
37370;out;231
37371;out;216
37372;out;367
37373;out;324
37840;out;123
37841;out;173
37842;out;123
37843;out;210
37844;out;185
