idproduto;mes;qtd
35368;set;92
35369;set;185
35370;set;125
35371;set;55
35384;set;73
35385;set;186
35386;set;152
35387;set;78
35324;set;169
35325;set;288
35326;set;176
35327;set;77
35440;set;78
35441;set;186
35442;set;157
35443;set;73
35272;set;64
35273;set;150
35274;set;177
35275;set;139
35295;set;95
35296;set;184
35297;set;173
35298;set;106
35310;set;38
35311;set;84
35312;set;107
35313;set;92
35314;set;61
37972;set;36
37973;set;67
37974;set;57
37975;set;31
37976;set;21
38055;set;19
38056;set;29
38057;set;31
38058;set;21
38047;set;14
38048;set;24
38049;set;26
38050;set;23
38039;set;19
38040;set;39
38041;set;31
38042;set;18
37944;set;20
37945;set;26
37946;set;27
37947;set;18
38059;set;20
38060;set;26
38061;set;27
38062;set;18
37822;set;26
37823;set;44
37824;set;35
37825;set;21
37826;set;27
37827;set;46
37828;set;36
37829;set;22
37830;set;26
37831;set;44
37832;set;35
37833;set;21
37960;set;36
37961;set;48
37962;set;41
37963;set;26
37977;set;41
37978;set;69
37979;set;59
37980;set;35
38287;set;33
38288;set;40
38289;set;39
38290;set;26
37956;set;26
37957;set;38
37958;set;35
37959;set;19
38063;set;26
38064;set;38
38065;set;35
38066;set;19
38043;set;16
38044;set;27
38045;set;22
38046;set;15
37968;set;46
37969;set;67
37970;set;58
37971;set;38
37964;set;23
37965;set;39
37966;set;24
37967;set;11
35336;set;118
35337;set;445
35338;set;458
35339;set;288
35356;set;93
35357;set;249
35358;set;228
35359;set;135
35228;set;183
35229;set;306
35230;set;199
35231;set;76
37551;set;25
37552;set;68
37553;set;68
37820;set;45
37555;set;11
37556;set;29
37557;set;29
37821;set;19
35212;set;140
35213;set;213
35214;set;125
35215;set;42
35244;set;98
35245;set;174
35246;set;163
35247;set;109
35260;set;43
35261;set;109
35262;set;136
35263;set;97
38005;set;38
38006;set;53
38007;set;40
38008;set;21
38009;set;38
38010;set;53
38011;set;40
38012;set;21
38315;set;50
38316;set;90
38317;set;77
38318;set;45
38307;set;50
38308;set;90
38309;set;77
38310;set;45
37852;set;34
37853;set;57
37854;set;49
37855;set;30
37856;set;42
37857;set;71
37858;set;61
37859;set;38
37860;set;59
37861;set;100
37862;set;85
37863;set;53
37864;set;34
37865;set;57
37866;set;49
37867;set;30
37427;set;39
37428;set;67
37429;set;59
37430;set;31
37678;set;39
37679;set;67
37680;set;59
37681;set;31
37511;set;45
37512;set;79
37513;set;66
37514;set;36
37519;set;37
37520;set;65
37521;set;54
37522;set;30
36846;set;64
36847;set;108
36848;set;92
36849;set;57
36854;set;52
36855;set;89
36856;set;76
36857;set;47
37368;set;238
37369;set;405
37370;set;357
37371;set;334
37372;set;567
37373;set;500
37840;set;191
37841;set;267
37842;set;191
37843;set;324
37844;set;286
37845;set;152
37846;set;191
37847;set;324
37848;set;286
37849;set;152
37457;set;82
37458;set;140
37459;set;123
37686;set;66
37454;set;82
37455;set;140
37456;set;123
37687;set;66
38298;set;10
38299;set;36
38300;set;45
38301;set;36
38294;set;10
38295;set;36
38296;set;45
38297;set;36
37744;set;37
37745;set;70
37746;set;70
37747;set;53
37748;set;37
37749;set;70
37750;set;70
37751;set;53
37997;set;94
37998;set;139
37999;set;101
38000;set;41
38001;set;94
38002;set;139
38003;set;101
38004;set;41
37752;set;145
37753;set;260
37754;set;202
37755;set;116
37756;set;145
37757;set;260
37758;set;202
37759;set;116
37760;set;61
37761;set;82
37762;set;65
37763;set;34
37764;set;61
37765;set;82
37766;set;65
37767;set;34
37701;set;31
37702;set;49
37703;set;45
37704;set;22
37705;set;31
37706;set;49
37707;set;45
37708;set;22
37709;set;45
37710;set;60
37711;set;43
37712;set;45
37713;set;60
37714;set;43
37715;set;42
37716;set;61
37717;set;46
37718;set;42
37719;set;61
37720;set;46
36987;set;113
36988;set;192
36989;set;170
36993;set;93
36994;set;157
36995;set;139
37868;set;90
37869;set;74
37736;set;56
37737;set;125
37738;set;142
37739;set;103
37740;set;56
37741;set;125
37742;set;142
37743;set;103
37570;set;72
37571;set;83
37572;set;69
37573;set;43
37574;set;59
37575;set;68
37576;set;57
37577;set;35
37674;set;25
37675;set;53
37676;set;57
37677;set;43
37076;set;25
37077;set;53
37078;set;57
37079;set;43
36890;set;35
36891;set;74
36892;set;79
36893;set;59
36905;set;28
36906;set;61
36907;set;65
36908;set;48
37721;set;71
37722;set;90
37723;set;65
37724;set;46
37725;set;71
